######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      5.4232421
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  4.0775213      -1.4952891     4.0775213      -0.3452254   7.0806e-01  3.53491       AF     
  4.0775213      1.6215979      4.0775213      -0.4634856   6.2909e-01  3.49870       RM     
  7.0893913      3.0118700      4.0775213      -0.8697627   4.1905e-01  3.46286       AM     
  4.5654513      -2.5239400     4.0775213      -0.8697627   4.1905e-01  3.42739       AF     
  6.4739574      1.9085061      4.0775213      -0.5626018   5.6972e-01  3.39229       AM     
  4.3464673      -2.1274901     4.0775213      -0.5626018   5.6972e-01  3.35754       AF     
  4.5442595      0.1977922      4.0775213      -0.0595196   9.4222e-01  3.32315       AM     
  5.2857795      0.7415199      4.0775213      -0.2254472   7.9816e-01  3.28911       AM     
  5.2857795      0.4426954      4.0775213      -0.1359874   8.7285e-01  3.25542       RM     
  4.9294138      -0.3563656     4.0775213      -0.1359874   8.7285e-01  3.22207       AF     
  6.2057258      1.2763120      4.0775213      -0.4002150   6.7018e-01  3.18907       AM     
  6.6557438      0.4500179      4.0775213      -0.1425732   8.6712e-01  3.15640       AM     
  5.6169586      -1.0387852     4.0775213      -0.1425732   8.6712e-01  3.12407       AF     
  4.8039189      -0.8130397     4.0775213      -0.1425732   8.6712e-01  3.09207       AF     
  4.8039189      0.1492537      4.0775213      -0.0487694   9.5240e-01  3.06039       RM     
  6.0184227      1.2145038      4.0775213      -0.4009525   6.6968e-01  3.02905       AM     
  4.5147591      -1.5036635     4.0775213      -0.4009525   6.6968e-01  2.99802       AF     
  5.7490868      1.2343276      4.0775213      -0.4159753   6.5970e-01  2.96731       AM     
  6.3501368      0.6010500      4.0775213      -0.2046535   8.1493e-01  2.93692       AM     
  5.1231107      -1.2270261     4.0775213      -0.2046535   8.1493e-01  2.90683       AF     
  4.4279965      -0.6951142     4.0775213      -0.2046535   8.1493e-01  2.87706       AF     
  4.6600611      0.2320646      4.0775213      -0.0814952   9.2174e-01  2.84759       AM     
  4.7112766      0.0512155      4.0775213      -0.0181717   9.8199e-01  2.81842       AM     
  4.6681826      -0.0430940     4.0775213      -0.0181717   9.8199e-01  2.78955       AF     
  5.6236923      0.9555097      4.0775213      -0.3460769   7.0746e-01  2.76097       AM     
  4.2676977      -1.3559947     4.0775213      -0.3460769   7.0746e-01  2.73269       AF     
  4.2676977      1.0699292      4.0775213      -0.3955811   6.7329e-01  2.70470       RM     
  4.0470268      -0.2206709     4.0470268      -0.3955811   6.7329e-01  2.67700       AF     
  5.0368099      0.9897832      4.0470268      -0.3735628   6.8828e-01  2.64958       AM     
  5.1010814      0.0642715      4.0470268      -0.0245083   9.7579e-01  2.62244       AM     
  5.0098798      -0.0912015     4.0470268      -0.0245083   9.7579e-01  2.59557       AF     
  4.6746773      -0.3352026     4.0470268      -0.0245083   9.7579e-01  2.56899       AF     
  4.6746773      1.0337537      4.0470268      -0.4065619   6.6594e-01  2.54267       RM     
  5.1902051      0.5155278      4.0470268      -0.2048487   8.1477e-01  2.51663       AM     
  4.6858943      -0.5043109     4.0470268      -0.2048487   8.1477e-01  2.49085       AF     
  5.8799691      1.1940748      4.0470268      -0.4843459   6.1610e-01  2.46533       AM     
  5.2991484      -0.5808206     4.0470268      -0.4843459   6.1610e-01  2.44008       AF     
  5.2991484      1.0950306      4.0470268      -0.4534123   6.3546e-01  2.41509       RM     
  4.0681821      -1.2309664     4.0470268      -0.4534123   6.3546e-01  2.39035       AF     
  4.0681821      1.9937833      4.0470268      -0.8427291   4.3053e-01  2.36586       RM     
  4.9691944      0.9010123      4.0470268      -0.3847798   6.8060e-01  2.34163       AM     
  5.9699552      1.0007608      4.0470268      -0.4318007   6.4934e-01  2.31765       AM     
  6.1148632      0.1449081      4.0470268      -0.0631709   9.3878e-01  2.29391       AM     
  5.9156246      -0.1992387     4.0470268      -0.0631709   9.3878e-01  2.27041       AF     
  6.0260453      0.1104207      4.0470268      -0.0491381   9.5205e-01  2.24715       AM     
  5.5824949      -0.4435504     4.0470268      -0.0491381   9.5205e-01  2.22413       AF     
  4.3168273      -1.2656676     4.0470268      -0.0491381   9.5205e-01  2.20135       AF     
  4.6113898      0.2945625      4.0470268      -0.1351947   8.7355e-01  2.17880       AM     
  4.6113898      1.2507344      4.0470268      -0.5799876   5.5991e-01  2.15648       RM     
  5.4604889      0.8490991      4.0470268      -0.3978171   6.7178e-01  2.13440       AM     
  4.7161267      -0.7443622     4.0470268      -0.3978171   6.7178e-01  2.11253       AF     
  6.2249539      1.5088272      4.0470268      -0.7216184   4.8597e-01  2.09089       AM     
  6.7642437      0.5392897      4.0470268      -0.2605924   7.7059e-01  2.06948       AM     
  5.3633467      -1.4008970     4.0470268      -0.2605924   7.7059e-01  2.04828       AF     
  5.3633467      1.4045130      4.0470268      -0.6928007   5.0017e-01  2.02730       RM     
  5.7233245      0.3599778      4.0470268      -0.1794030   8.3577e-01  2.00653       AM     
  5.5474327      -0.1758917     4.0470268      -0.1794030   8.3577e-01  1.98598       AF     
  4.3598114      -1.1876213     4.0470268      -0.1794030   8.3577e-01  1.96564       AF     
  4.3598114      0.4276882      4.0470268      -0.2198345   8.0265e-01  1.94550       RM     
  5.4941860      1.1343746      4.0470268      -0.5891102   5.5482e-01  1.92557       AM     
  4.7473273      -0.7468587     4.0470268      -0.5891102   5.5482e-01  1.90585       AF     
  4.7473273      1.5528774      4.0470268      -0.8232282   4.3901e-01  1.88633       RM     
  4.7473273      2.0084895      4.0470268      -1.0757817   3.4103e-01  1.86700       RM     
  5.9053439      1.1580166      4.0470268      -0.6266728   5.3437e-01  1.84788       AM     
  4.9614257      -0.9439182     4.0470268      -0.6266728   5.3437e-01  1.82895       AF     
  4.4350704      -0.5263553     4.0470268      -0.6266728   5.3437e-01  1.81022       AF     
  4.1841770      -0.2508934     4.0470268      -0.6266728   5.3437e-01  1.79168       AF     
  5.8062505      1.6220735      4.0470268      -0.9147083   4.0063e-01  1.77332       AM     
  4.9077987      -0.8984518     4.0470268      -0.9147083   4.0063e-01  1.75516       AF     
  4.9077987      0.3175042      4.0470268      -0.1827699   8.3296e-01  1.73718       RM     
  5.3734529      0.4656542      4.0470268      -0.2708258   7.6275e-01  1.71939       AM     
  4.0969244      -1.2765285     4.0470268      -0.2708258   7.6275e-01  1.70177       AF     
  4.0969244      1.0817304      4.0470268      -0.6422271   5.2612e-01  1.68434       RM     
  5.2742558      1.1773315      4.0470268      -0.7062197   4.9351e-01  1.66709       AM     
  5.2742558      0.8175595      4.0470268      -0.4954866   6.0927e-01  1.65001       RM     
  4.7073685      -0.5668874     4.0470268      -0.4954866   6.0927e-01  1.63311       AF     
  4.7073685      2.3137335      4.0470268      -1.4314260   2.3897e-01  1.61638       RM     
  6.4360568      1.7286883      4.0470268      -1.0805473   3.3941e-01  1.59983       AM     
  4.9239090      -1.5121478     4.0470268      -1.0805473   3.3941e-01  1.58344       AF     
  4.8811941      -0.0427149     4.0470268      -1.0805473   3.3941e-01  1.56722       AF     
  4.7671523      -0.1140418     4.0470268      -1.0805473   3.3941e-01  1.55117       AF     
  4.7671523      1.3308676      4.0470268      -0.8668580   4.2027e-01  1.53528       RM     
  4.7671523      1.2797957      4.0470268      -0.8422194   4.3075e-01  1.51955       RM     
  4.7671523      1.3821175      4.0470268      -0.9189694   3.9893e-01  1.50399       RM     
  6.3561963      1.5890440      4.0470268      -1.0674893   3.4387e-01  1.48858       AM     
  5.5222007      -0.8339956     4.0470268      -1.0674893   3.4387e-01  1.47333       AF     
  5.5222007      0.6301272      4.0470268      -0.4321145   6.4914e-01  1.45824       RM     
  6.3385191      0.8163184      4.0470268      -0.5655899   5.6802e-01  1.44330       AM     
  6.2396886      -0.0988305     4.0470268      -0.5655899   5.6802e-01  1.42852       AF     
  6.0756634      -0.1640252     4.0470268      -0.5655899   5.6802e-01  1.41389       AF     
  5.3705696      -0.7050937     4.0470268      -0.5655899   5.6802e-01  1.39940       AF     
  6.5756919      1.2051223      4.0470268      -0.8700801   4.1892e-01  1.38507       AM     
  5.8309761      -0.7447158     4.0470268      -0.8700801   4.1892e-01  1.37088       AF     
  5.2362902      -0.5946859     4.0470268      -0.8700801   4.1892e-01  1.35684       AF     
  5.2362902      1.1064234      4.0470268      -0.8238800   4.3873e-01  1.34294       RM     
  4.6471960      -0.5890943     4.0470268      -0.8238800   4.3873e-01  1.32919       AF     
  4.6471960      0.4109162      4.0470268      -0.3123481   7.3173e-01  1.31557       RM     
  5.6552478      1.0080519      4.0470268      -0.7741765   4.6108e-01  1.30210       AM     
  5.6552478      0.5103153      4.0470268      -0.3959745   6.7302e-01  1.28876       RM     
  4.3129442      -1.3423037     4.0470268      -0.3959745   6.7302e-01  1.27556       AF     
  4.3129442      1.4062372      4.0470268      -1.1138589   3.2829e-01  1.26249       RM     
  5.7833199      1.4703757      4.0470268      -1.1767153   3.0829e-01  1.24956       AM     
  5.0997884      -0.6835314     4.0470268      -1.1767153   3.0829e-01  1.23676       AF     
  4.6053948      -0.4943936     4.0470268      -1.1767153   3.0829e-01  1.22409       AF     
  4.4210890      -0.1843058     4.0470268      -1.1767153   3.0829e-01  1.21155       AF     
  4.4210890      2.1844895      4.0470268      -1.8217092   1.6175e-01  1.19914       RM     
  4.6024703      0.1813813      4.0470268      -0.1528245   8.5828e-01  1.18686       AM     
  5.5910408      0.9885705      4.0470268      -0.8415496   4.3104e-01  1.17470       AM     
  4.4085229      -1.1825179     4.0470268      -0.8415496   4.3104e-01  1.16267       AF     
