######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      1.3477545
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  1.3684614      0.0242974      1.3054736      -0.0128808   9.8720e-01  1.88633       AM     
  1.3643821      -0.0040793     1.3054736      -0.0128808   9.8720e-01  1.86700       AF     
  1.4061728      0.0417907      1.3054736      -0.0226154   9.7764e-01  1.84788       AM     
  1.3782685      -0.0279043     1.3054736      -0.0226154   9.7764e-01  1.82895       AF     
  1.3649880      -0.0132805     1.3054736      -0.0226154   9.7764e-01  1.81022       AF     
  1.3958600      0.0308720      1.3054736      -0.0172308   9.8292e-01  1.79168       AM     
  1.3509462      -0.0449138     1.3054736      -0.0172308   9.8292e-01  1.77332       AF     
  1.3095131      -0.0414331     1.3054736      -0.0172308   9.8292e-01  1.75516       AF     
  1.3727064      0.0631933      1.3054736      -0.0363769   9.6428e-01  1.73718       AM     
  1.3628946      -0.0098118     1.3054736      -0.0363769   9.6428e-01  1.71939       AF     
  1.3589030      -0.0039916     1.3054736      -0.0363769   9.6428e-01  1.70177       AF     
  1.3413280      -0.0175750     1.3054736      -0.0363769   9.6428e-01  1.68434       AF     
  1.3380496      -0.0032784     1.3054736      -0.0363769   9.6428e-01  1.66709       AF     
  1.3543906      0.0163410      1.3054736      -0.0099036   9.9015e-01  1.65001       AM     
  1.3276622      -0.0267284     1.3054736      -0.0099036   9.9015e-01  1.63311       AF     
  1.3420252      0.0143629      1.3054736      -0.0088859   9.9115e-01  1.61638       AM     
  1.3630803      0.0210551      1.3054736      -0.0131609   9.8693e-01  1.59983       AM     
  1.3486585      -0.0144219     1.3054736      -0.0131609   9.8693e-01  1.58344       AF     
  1.3557492      0.0070907      1.3054736      -0.0045244   9.9549e-01  1.56722       AM     
  1.3458959      -0.0098533     1.3054736      -0.0045244   9.9549e-01  1.55117       AF     
  1.3154528      -0.0304431     1.3054736      -0.0045244   9.9549e-01  1.53528       AF     
  1.3798056      0.0643528      1.3054736      -0.0423499   9.5853e-01  1.51955       AM     
  1.3345566      -0.0452490     1.3054736      -0.0423499   9.5853e-01  1.50399       AF     
  1.3341550      -0.0004016     1.3054736      -0.0423499   9.5853e-01  1.48858       AF     
  1.3537173      0.0195623      1.3054736      -0.0132776   9.8681e-01  1.47333       AM     
  1.3581884      0.0044712      1.3054736      -0.0030661   9.9694e-01  1.45824       AM     
  1.3584898      0.0003014      1.3054736      -0.0002088   9.9979e-01  1.44330       AM     
  1.3572583      -0.0012315     1.3054736      -0.0002088   9.9979e-01  1.42852       AF     
  1.3625727      0.0053144      1.3054736      -0.0037587   9.9625e-01  1.41389       AM     
  1.3622532      -0.0003195     1.3054736      -0.0037587   9.9625e-01  1.39940       AF     
  1.3790404      0.0167873      1.3054736      -0.0121202   9.8795e-01  1.38507       AM     
  1.3196803      -0.0593601     1.3054736      -0.0121202   9.8795e-01  1.37088       AF     
  1.3166868      -0.0029935     1.3054736      -0.0121202   9.8795e-01  1.35684       AF     
  1.3629931      0.0463063      1.3054736      -0.0344812   9.6611e-01  1.34294       AM     
  1.3241395      -0.0388536     1.3054736      -0.0344812   9.6611e-01  1.32919       AF     
  1.3589947      0.0348551      1.3054736      -0.0264943   9.7385e-01  1.31557       AM     
  1.3455398      -0.0134549     1.3054736      -0.0264943   9.7385e-01  1.30210       AF     
  1.3258061      -0.0197337     1.3054736      -0.0264943   9.7385e-01  1.28876       AF     
  1.3537255      0.0279194      1.3054736      -0.0218880   9.7835e-01  1.27556       AM     
  1.3493736      -0.0043519     1.3054736      -0.0218880   9.7835e-01  1.26249       AF     
  1.3554822      0.0061087      1.3054736      -0.0048887   9.9512e-01  1.24956       AM     
  1.3614087      0.0059265      1.3054736      -0.0047919   9.9522e-01  1.23676       AM     
  1.3145302      -0.0468785     1.3054736      -0.0047919   9.9522e-01  1.22409       AF     
  1.3175580      0.0030278      1.3054736      -0.0024991   9.9750e-01  1.21155       AM     
  1.3488708      0.0313128      1.3054736      -0.0261126   9.7423e-01  1.19914       AM     
  1.3497653      0.0008945      1.3054736      -0.0007537   9.9925e-01  1.18686       AM     
  1.3389867      -0.0107786     1.3054736      -0.0007537   9.9925e-01  1.17470       AF     
  1.3304077      -0.0085789     1.3054736      -0.0007537   9.9925e-01  1.16267       AF     
  1.4004450      0.0700373      1.3054736      -0.0608617   9.4095e-01  1.15076       AM     
  1.3742912      -0.0261538     1.3054736      -0.0608617   9.4095e-01  1.13897       AF     
